Round,Pitch,Team One,Team Two
1,1,11,12
1,2,9,14
1,3,3,8
1,4,1,7
1,5,10,15
2,1,14,16
2,2,9,10
2,3,7,8
2,4,1,4
2,5,11,15
3,1,14,15
3,2,9,13
3,3,4,7
3,4,1,8
3,5,12,16
4,1,15,16
4,2,10,13
4,3,6,7
4,4,1,2
4,5,12,14
5,1,9,15
5,2,5,6
5,3,2,7
5,4,1,3
5,5,10,12
6,1,13,14
6,2,9,12
6,3,4,8
6,4,3,6
6,5,2,5
7,1,13,15
7,2,10,16
7,3,4,6
7,4,3,5
7,5,2,8
8,1,11,16
8,2,3,7
8,3,2,4
8,4,1,5
8,5,10,14
9,1,12,15
9,2,11,13
9,3,4,5
9,4,2,3
9,5,9,16
10,1,12,13
10,2,5,8
10,3,3,4
10,4,2,6
10,5,9,11
11,1,13,16
11,2,11,14
11,3,5,7
11,4,1,6
11,5,0,0
12,1,10,11
12,2,6,8
12,3,0,0
12,4,0,0
12,5,0,0
