Round,Pitch,Team One,Team Two
1,1,12,16
1,2,3,6
1,3,2,8
1,4,1,4
1,5,11,13
2,1,11,12
2,2,10,16
2,3,5,8
2,4,3,7
2,5,1,2
3,1,13,16
3,2,11,14
3,3,3,8
3,4,2,7
3,5,5,6
4,1,9,13
4,2,6,7
4,3,4,8
4,4,2,5
4,5,10,15
5,1,9,10
5,2,5,7
5,3,2,4
5,4,1,6
5,5,12,14
6,1,12,13
6,2,10,11
6,3,2,6
6,4,1,7
6,5,14,15
7,1,11,16
7,2,10,14
7,3,9,12
7,4,6,8
7,5,4,5
8,1,14,16
8,2,11,15
8,3,10,12
8,4,3,4
8,5,7,8
9,1,13,15
9,2,9,14
9,3,4,7
9,4,3,5
9,5,1,8
10,1,15,16
10,2,10,13
10,3,2,3
10,4,1,5
10,5,9,11
11,1,13,14
11,2,12,15
11,3,4,6
11,4,1,3
11,5,9,16
12,1,9,15
12,2,0,0
12,3,0,0
12,4,0,0
12,5,0,0
